date,spx,dax,ftse,nikkei
2003-07-10,988.7,3269.84,4028.8,9955.62
2003-07-11,998.14,3326.51,4058.1,9635.35
2003-07-14,1003.86,3396.07,4127.6,9755.63
2003-07-15,1000.42,3384.69,4102.5,9751.0
2003-07-16,994.09,3387.64,4077.1,9735.97
2003-07-17,981.73,3330.68,4056.6,9498.86
2003-07-18,993.32,3366.71,4073.2,9527.73
2003-07-21,978.8,3287.0,4044.3,9527.73
2003-07-22,988.11,3318.15,4079.8,9485.97
2003-07-23,988.61,3304.48,4086.5,9615.34
2003-07-24,981.6,3374.82,4149.6,9671.0
2003-07-25,998.68,3356.89,4131.2,9648.01
2003-07-28,996.52,3417.77,4148.8,9839.91
2003-07-29,989.28,3428.12,4137.0,9834.31
2003-07-30,987.49,3429.03,4141.2,9632.66
2003-07-31,990.31,3487.86,4157.0,9563.21
2003-08-01,980.15,3438.89,4098.4,9611.67
2003-08-04,982.82,3405.31,4100.1,9452.79
2003-08-05,965.46,3438.36,4121.0,9382.58
2003-08-06,967.08,3375.66,4070.4,9323.91
2003-08-07,974.12,3331.89,4095.6,9265.56
2003-08-08,977.59,3332.24,4147.8,9327.53
2003-08-11,980.59,3339.58,4176.7,9487.8
2003-08-12,990.35,3381.71,4185.6,9564.81
2003-08-13,984.03,3398.89,4180.7,9752.75
2003-08-14,990.51,3452.7,4237.8,9913.47
2003-08-15,990.67,3443.93,4247.3,9863.47
2003-08-18,999.74,3507.23,4272.1,10032.97
2003-08-19,1002.35,3504.53,4250.8,10174.1
2003-08-20,1000.3,3501.23,4217.4,10292.06
2003-08-21,1003.27,3565.47,4223.5,10362.69
2003-08-22,993.06,3549.05,4225.9,10281.17
2003-08-25,993.71,3500.09,4225.9,10276.64
2003-08-26,996.73,3455.48,4177.4,10332.57
2003-08-27,996.79,3483.08,4206.4,10308.99
2003-08-28,1002.84,3492.67,4198.0,10225.22
2003-08-29,1008.01,3484.58,4161.1,10343.55
2003-09-01,1008.01,3571.22,4204.4,10670.18
2003-09-02,1021.99,3567.2,4204.4,10690.08
2003-09-03,1026.27,3647.51,4262.1,10715.69
2003-09-04,1027.97,3668.67,4248.8,10646.95
2003-09-05,1021.39,3607.71,4257.2,10650.77
2003-09-08,1031.64,3641.53,4292.1,10683.76
2003-09-09,1023.17,3594.4,4263.9,10922.04
2003-09-10,1010.92,3536.87,4252.1,10856.32
2003-09-11,1016.42,3566.85,4242.2,10546.33
2003-09-12,1018.63,3508.06,4237.8,10712.81
2003-09-15,1014.81,3516.31,4260.9,10712.81
2003-09-16,1029.32,3564.75,4299.0,10887.03
2003-09-17,1025.97,3561.03,4293.0,10990.11
2003-09-18,1039.58,3612.02,4314.7,11033.32
2003-09-19,1036.3,3578.7,4257.0,10938.42
2003-09-22,1022.82,3456.27,4228.2,10475.1
2003-09-23,1029.03,3411.02,4221.7,10475.1
2003-09-24,1009.38,3307.34,4236.4,10502.29
2003-09-25,1003.27,3326.27,4202.2,10310.04
2003-09-26,996.85,3324.85,4157.1,10318.44
2003-09-29,1006.58,3323.38,4142.7,10229.57
2003-09-30,995.97,3256.78,4091.3,10219.05
2003-10-01,1018.22,3329.83,4169.2,10361.24
2003-10-02,1020.24,3276.64,4209.1,10593.53
2003-10-03,1029.85,3419.0,4274.0,10709.29
2003-10-06,1034.35,3404.91,4270.1,10740.14
2003-10-07,1039.25,3355.78,4272.0,10820.33
2003-10-08,1033.78,3395.33,4268.6,10542.2
2003-10-09,1038.73,3481.9,4313.9,10531.44
2003-10-10,1038.06,3471.25,4311.0,10786.04
2003-10-13,1045.35,3538.39,4362.3,10786.04
2003-10-14,1049.48,3538.13,4334.1,10966.43
2003-10-15,1046.76,3570.58,4368.8,10899.95
2003-10-16,1050.07,3577.72,4339.7,11025.15
2003-10-17,1039.32,3516.67,4344.0,11037.89
2003-10-20,1044.68,3559.33,4347.6,11161.71
2003-10-21,1046.03,3580.08,4352.3,11031.52
2003-10-22,1030.36,3490.6,4285.6,10889.62
2003-10-23,1033.77,3497.14,4240.2,10335.16
2003-10-24,1028.91,3452.64,4239.0,10335.7
2003-10-27,1031.13,3517.1,4251.3,10454.12
2003-10-28,1046.79,3586.93,4272.9,10561.01
2003-10-29,1048.11,3615.42,4265.7,10739.22
2003-10-30,1046.94,3639.66,4300.9,10695.56
2003-10-31,1050.71,3655.99,4287.6,10559.59
2003-11-03,1059.02,3744.5,4332.6,10559.59
2003-11-04,1053.25,3741.71,4330.3,10847.97
2003-11-05,1051.81,3717.7,4303.4,10837.54
2003-11-06,1058.05,3733.93,4324.2,10552.3
2003-11-07,1053.21,3782.56,4376.9,10628.98
2003-11-10,1047.11,3746.24,4341.8,10504.54
2003-11-11,1046.57,3729.87,4345.1,10207.04
2003-11-12,1058.53,3748.34,4371.3,10226.22
2003-11-13,1058.41,3765.59,4373.0,10337.67
2003-11-14,1050.35,3797.4,4397.0,10167.06
2003-11-17,1043.63,3674.54,4338.9,9786.83
2003-11-18,1034.15,3666.28,4354.7,9897.05
2003-11-19,1042.44,3652.29,4327.4,9614.6
2003-11-20,1033.65,3638.04,4308.0,9865.7
2003-11-21,1035.28,3642.25,4319.0,9852.83
2003-11-24,1052.08,3737.09,4382.4,9852.83
2003-11-25,1053.89,3733.16,4388.8,9960.2
2003-11-26,1058.45,3712.98,4370.4,10144.83
2003-11-27,1058.45,3744.99,4361.1,10163.38
2003-11-28,1058.2,3745.95,4342.6,10100.57
2003-12-01,1070.12,3821.2,4410.0,10403.27
2003-12-02,1066.62,3809.26,4378.9,10410.15
2003-12-03,1064.73,3875.66,4392.0,10326.39
2003-12-04,1069.72,3874.78,4378.2,10429.99
2003-12-05,1061.5,3841.73,4367.0,10373.46
2003-12-08,1069.3,3806.54,4359.8,10045.34
2003-12-09,1060.18,3846.18,4379.6,10124.28
2003-12-10,1059.05,3820.92,4335.4,9910.56
2003-12-11,1071.21,3858.85,4331.3,10075.14
2003-12-12,1074.14,3860.13,4347.6,10169.66
2003-12-15,1068.04,3875.47,4348.0,10490.77
2003-12-16,1075.13,3865.98,4333.0,10271.6
2003-12-17,1076.48,3847.57,4354.2,10092.64
2003-12-18,1089.18,3870.88,4397.3,10104.0
2003-12-19,1088.66,3898.42,4412.3,10284.54
2003-12-22,1092.94,3876.94,4424.0,10372.51
2003-12-23,1096.02,3903.34,4440.9,10372.51
2003-12-24,1094.04,3903.34,4444.7,10371.27
2003-12-25,1094.04,3903.34,4444.7,10365.35
2003-12-26,1095.89,3903.34,4444.7,10417.41
2003-12-29,1109.48,3952.72,4457.5,10500.62
2003-12-30,1109.64,3965.16,4470.4,10676.64
2003-12-31,1111.92,3965.16,4476.9,10676.64
2004-01-01,1111.92,3965.16,4476.9,10676.64
2004-01-02,1108.48,4018.5,4510.2,10676.64
2004-01-05,1122.22,4035.9,4513.3,10825.17
2004-01-06,1123.67,4035.44,4505.2,10813.99
2004-01-07,1126.33,4004.4,4473.0,10757.82
2004-01-08,1131.92,4045.43,4494.2,10837.65
2004-01-09,1121.86,4016.18,4466.3,10965.05
2004-01-12,1127.23,3995.91,4449.6,10965.05
2004-01-13,1121.22,3996.22,4440.1,10849.68
2004-01-14,1130.52,4055.21,4461.4,10863.0
2004-01-15,1132.05,4068.75,4456.1,10665.15
2004-01-16,1139.83,4111.64,4487.9,10857.2
2004-01-19,1139.83,4139.92,4518.1,11036.33
2004-01-20,1138.77,4106.41,4499.3,11103.1
2004-01-21,1147.62,4138.04,4511.2,11002.39
2004-01-22,1143.94,4139.86,4476.8,11000.7
2004-01-23,1141.55,4151.83,4460.8,11069.01
2004-01-26,1155.37,4128.68,4445.5,10972.6
2004-01-27,1144.05,4134.42,4447.0,10928.03
2004-01-28,1128.48,4150.24,4468.1,10852.47
2004-01-29,1134.11,4095.71,4411.5,10779.44
2004-01-30,1131.13,4058.6,4390.7,10783.61
2004-02-02,1135.26,4071.6,4381.4,10776.73
2004-02-03,1136.03,4057.51,4390.6,10641.92
